what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1310553941535
os,sysinfo,,,"macosx",1310553941570
arch,sysinfo,,,"x86_64",1310553941570
ws,sysinfo,,,"cocoa",1310553941570
locale,sysinfo,,,"en_US",1310553941570
processors,sysinfo,,,"2",1310553941570
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1310553941570
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1310553941570
java.specification.name,sysinfo,,,"Java Platform API Specification",1310553941570
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310553941570
java.specification.version,sysinfo,,,"1.6",1310553941570
java.vendor,sysinfo,,,"Apple Inc.",1310553941570
java.version,sysinfo,,,"1.6.0_24",1310553941570
java.vm.info,sysinfo,,,"mixed mode",1310553941570
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1310553941570
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1310553941570
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310553941570
java.vm.specification.version,sysinfo,,,"1.0",1310553941570
java.vm.vendor,sysinfo,,,"Apple Inc.",1310553941570
java.vm.version,sysinfo,,,"19.1-b02-334",1310553941570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310553971906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310553983047
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310553987448
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554030417
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1310554030481
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554032893
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554093698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554101996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554118220
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1310554118280
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554122539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554135821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554137783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554169617
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1310554171373
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1310554174179
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1310554177485
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1310554183748
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1310554183764
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310554186652
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1310554186759
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310554186760
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1310554189012
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310554193623
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1310554193780
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1310554202970
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554213151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554249218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1310554249267
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554290453
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554309390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310554314461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566195265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566209690
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566232912
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566235959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566240185
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566241901
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566247067
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566252269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566254400
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566260301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566262110
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566267343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566287065
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310566289909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310570125723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310570126257
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310655011328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310655016615
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310655018302
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1310655018513
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1310655019229
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1310655019230
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1310655019231
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1310655019235
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1310655019235
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1310655019236
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1310655019236
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1310655019237
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1310655019237
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1310655019269
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1310655019270
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1310655019276
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1310655019277
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1310655019278
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1310655019279
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1310655019283
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1310655019285
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1310655019285
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1310655019286
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1310655019286
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1310655019286
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1310655019288
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1310655019290
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1310655019292
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.help.ui",1310655019292
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1311781045524
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1311781045525
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1311781045526
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1311781045527
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1311781045529
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1311781045530
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1311781045532
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1311781045533
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1311781045534
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1311781045535
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1311781045536
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1311781045537
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1311781045540
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1311781045541
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1311781045542
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1311781045543
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1311781045545
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1311781045547
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1311781045548
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1311781045550
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1311781045550
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1311781045551
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1311781045552
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1311781045553
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1311781045554
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1311781045555
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1311781045557
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1311781045559
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1311781045560
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1311781045562
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1311781045563
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1311781045565
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1311781045566
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1311781045567
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1311781045568
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1311781045570
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1311781045571
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1311781045572
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1311781045574
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1311781045576
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1311781045577
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1311781045579
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1311781045580
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1311781045581
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1311781045582
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1311781045582
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1311781045584
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1311781045584
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1311781045586
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1311781045588
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1311781045589
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1311781045591
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1311781045591
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1311781045593
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1311781045593
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1311781045595
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1311781045596
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1311781045598
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1311781045599
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1311781045601
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1311781045603
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1311781045605
